Bureau of Justice Statistics,,,,,,,,,,
Filename: p20stt08.csv,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020 federal correctional authorities, by sex, age, and jurisdiction, 2019 and 2020",,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020",,,,,,,,,,
Jurisdiction,,2019 total ,2020 total ,"Change, 2019–2020","Percent change, 2019–2020",,2019 new court commitments,2020 new court commitments,2019 conditional supervision violations/a,2020 conditional supervision violations/a
,Utah,"4,041","2,930","-1,111",-27.5,,"1,737","1,000","2,304","1,930"
,"Vermont/d,g,k","2,560",952,:,:,,909,/,"1,651",/
,Virginia/l,"12,018","11,866",-152,-1.3,,"11,988","11,844",30,22
,Washington/j,"24,154","14,113","-10,041",-41.6,,"6,011","3,562","18,136","10,536"
,West Virginia,"4,169","2,673","-1,496",-35.9,,"2,135","1,111","1,841","1,471"
,Wisconsin,"5,252","2,895","-2,357",-44.9,,"3,466","1,723","1,785","1,154"
,Wyoming,952,726,-226,-23.7,,696,583,256,143
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts exclude transfers, escapes, and absences without leave (AWOLs). Counts include other conditional release violators, returns from appeal or bond, and other admissions. See Methodology. Counts cover January 1 through December 31 for each year and are based on prisoners admitted to state or federal correctional authorities with a sentence of more than 1 year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Multiple states reported large changes in prison populations, admissions, and releases between 2019 and 2020 due to criminal justice reforms enacted to address the COVID-19 pandemic. Because these differences were not the result of changes in reporting methods, BJS made direct comparisons of 2019 and 2020 data, understanding that the criminal justice reforms may be temporary.",,,,,,,,,,
 /Not reported.,,,,,,,,,,
:Not calculated. Counts and rates for 2019 and 2020 are not comparable.,,,,,,,,,,
"a/Includes all conditional release violators returned to prison from postcustody community supervision, including parole and probation, either for violations of conditions of release or for new crimes.",,,,,,,,,,
"b/U.S. and state total estimates for 2019 include imputed counts for Maine, Oregon, and Vermont, which did not submit 2019 National Prisoner Statistics (NPS) data on admissions. See Methodology in this report and in Prisoners in 2019 (NCJ 255115, BJS, October 2020).",,,,,,,,,,
c/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. ,,,,,,,,,,
d/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,
e/Florida does not report prison admissions for technical violations. All admissions represent new sentences. The admissions due to supervision violations represent persons who committed new crimes while on postcustody community supervision.,,,,,,,,,,
f/Includes the admission of an undetermined number of prisoners with sentences of 1 year or less. Admission counts for parole violations includes prisoners who were AWOL and who committed a subsequent technical violation or new offense while on parole.,,,,,,,,,,
g/State did not submit 2019 NPS data on admissions. Total and detailed types of admissions were imputed and included in U.S. and state totals. Estimates of admissions in 2019 are not comparable to data for previous years or 2020. See Methodology in this report and Jurisdiction notes on the BJS website.,,,,,,,,,,
h/New court commitment admissions in 2020 include probation release violators who received new sentences.,,,,,,,,,,
i/Counts of admissions for 2019 and 2020 are estimates.,,,,,,,,,,
"j/Includes all admissions and releases from state prison, regardless of sentence length. See Jurisdiction notes on the BJS website.",,,,,,,,,,
k/State did not provide admission breakdown by type in 2020.,,,,,,,,,,
l/Admission data are based on fiscal year 2019 and are preliminary. Admissions include persons sentenced to 1 year or more.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020.",,,,,,,,,,
