Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p21stt02.csv,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
,,2020,,,2021,,,"Change, 2020–2021",,,"Percent change, 2020–2021",,,,,
,Maryland,"15,623","15,105",518,"15,134","14,616",518,-489,-489,0,-3.1,,-3.2,,0,
,Massachusetts,"6,762","6,564",198,"6,148","5,949",199,-614,-615,1,-9.1,,-9.4,,0.5,
,Michigan,"33,617","31,913","1,704","32,186","30,621","1,565","-1,431","-1,292",-139,-4.3,,-4,,-8.2,
,Minnesota,"8,148","7,683",465,"8,003","7,546",457,-145,-137,-8,-1.8,,-1.8,,-1.7,
,Mississippi,"17,577","16,388","1,189","17,332","16,116","1,216",-245,-272,27,-1.4,,-1.7,,2.3,
,"Missouri/c,d","23,062","21,167","1,895","23,422","21,370","2,052",360,203,157,1.6,,1,,8.3,
,Montana,"3,927","3,457",470,"4,313","3,702",611,386,245,141,9.8,,7.1,,30,
,Nebraska,"5,306","4,927",379,"5,600","5,200",400,294,273,21,5.5,,5.5,,5.5,
,Nevada/c,"11,249","10,278",971,"10,202","9,418",784,"-1,047",-860,-187,-9.3,,-8.4,,-19.3,
,New Hampshire,"2,352","2,168",184,"2,127","1,979",148,-225,-189,-36,-9.6,,-8.7,,-19.6,
,New Jersey,"12,830","12,369",461,"12,506","12,052",454,-324,-317,-7,-2.5,,-2.6,,-1.5,
,New Mexico,"5,500","4,955",545,"5,154","4,635",519,-346,-320,-26,-6.3,,-6.5,,-4.8,
,New York,"34,128","32,837","1,291","30,338","29,233","1,105","-3,790","-3,604",-186,-11.1,,-11,,-14.4,
,North Carolina,"29,461","27,354","2,107","28,995","26,871","2,124",-466,-483,17,-1.6,,-1.8,,0.8,
,North Dakota,"1,401","1,239",162,"1,689","1,489",200,288,250,38,20.6,,20.2,,23.5,
,Ohio,"45,036","41,408","3,628","45,029","41,443","3,586",-7,35,-42,0,,0.1,,-1.2,
,Oklahoma/f,"22,462","20,275","2,187","22,391","20,216","2,175",-71,-59,-12,-0.3,,-0.3,,-0.5,
,Oregon,"12,753","11,834",919,"13,198","12,252",946,445,418,27,3.5,,3.5,,2.9,
,Pennsylvania,"39,357","37,122","2,235","37,194","35,182","2,012","-2,163","-1,940",-223,-5.5,,-5.2,,-10,
,Rhode Island/b,"2,227","2,138",89,"2,238","2,115",123,11,-23,34,0.5,,-1.1,,38.2,
,South Carolina,"16,157","15,159",998,"15,759","14,721","1,038",-398,-438,40,-2.5,,-2.9,,4,
,South Dakota,"3,250","2,822",428,"3,353","2,892",461,103,70,33,3.2,,2.5,,7.7,
,Tennessee,"22,685","20,415","2,270","21,995","19,903","2,092",-690,-512,-178,-3,,-2.5,,-7.8,
,Texas,"135,906","125,547","10,359","133,772","123,263","10,509","-2,134","-2,284",150,-1.6,,-1.8,,1.4,
,Utah,"5,448","5,075",373,"5,907","5,426",481,459,351,108,8.4,,6.9,,29,
,Vermont/b,"1,284","1,200",84,"1,287","1,204",83,3,4,-1,0.2,,0.3,,-1.2,
,Virginia,"31,838","29,476","2,362","30,357","28,119","2,238","-1,481","-1,357",-124,-4.7,,-4.6,,-5.2,
,Washington,"15,724","14,676","1,048","13,674","12,888",786,"-2,050","-1,788",-262,-13,,-12.2,,-25,
,West Virginia,"6,044","5,393",651,"5,847","5,227",620,-197,-166,-31,-3.3,,-3.1,,-4.8,
,Wisconsin,"20,298","19,034","1,264","20,202","18,953","1,249",-96,-81,-15,-0.5,,-0.4,,-1.2,
,Wyoming,"2,087","1,826",261,"2,123","1,858",265,36,32,4,1.7,,1.8,,1.5,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,
:Not calculated. Counts for 2020 and 2021 are not comparable.,,,,,,,,,,,,,,,,
a/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations. Data for these states are not reported in BJS’s annual Jail Inmates reports.,,,,,,,,,,,,,,,,
c/Total jurisdiction counts for 2020 have been updated.,,,,,,,,,,,,,,,,
d/State does not include persons held in federal or other state prisons in its jurisdiction count.,,,,,,,,,,,,,,,,
e/State changed its counting methodology between 2020 and 2021. Data for these years are not comparable.,,,,,,,,,,,,,,,,
f/Includes persons who were waiting in county jail to be moved to state prison.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021.",,,,,,,,,,,,,,,,
