Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p20stt04.csv,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,,
,,2019,,,2020,,,"Change, 2019–2020",,,"Percent change, 2019–2020",,,,,
,Oklahoma,"24,692","22,155","2,537","22,309","20,167","2,142","-2,383","-1,988",-395,-9.7,,-9,,-15.6,
,Oregon/g,"14,943","13,726","1,217","12,747","11,828",919,:,:,:,:,,:,,:,
,Pennsylvania,"45,485","42,724","2,761","39,335","37,103","2,232","-6,150","-5,621",-529,-13.5,,-13.2,,-19.2,
,Rhode Island/c,"1,656","1,598",58,"1,382","1,345",37,-274,-253,-21,-16.5,,-15.8,,-36.2,
,South Carolina,"18,295","17,058","1,237","15,984","15,021",963,"-2,311","-2,037",-274,-12.6,,-11.9,,-22.2,
,South Dakota,"3,797","3,237",560,"3,242","2,817",425,-555,-420,-135,-14.6,,-13,,-24.1,
,Tennessee,"26,349","23,615","2,734","22,685","20,415","2,270","-3,664","-3,200",-464,-13.9,,-13.6,,-17,
,Texas,"154,479","141,830","12,649","134,345","124,350","9,995","-20,134","-17,480","-2,654",-13,,-12.3,,-21,
,Utah/d,"6,667","6,085",582,"5,441","5,068",373,"-1,226","-1,017",-209,-18.4,,-16.7,,-35.9,
,"Vermont/c,h","1,137","1,052",85,907,859,48,-230,-193,-37,-20.2,,-18.3,,-43.5,
,Virginia,"36,091","33,090","3,001","31,838","29,476","2,362","-4,253","-3,614",-639,-11.8,,-10.9,,-21.3,
,Washington,"19,184","17,565","1,619","15,689","14,646","1,043","-3,495","-2,919",-576,-18.2,,-16.6,,-35.6,
,West Virginia,"6,800","5,979",821,"6,044","5,393",651,-756,-586,-170,-11.1,,-9.8,,-20.7,
,Wisconsin,"22,039","20,612","1,427","18,674","17,511","1,163","-3,365","-3,101",-264,-15.3,,-15,,-18.5,
,Wyoming,"2,479","2,142",337,"2,087","1,826",261,-392,-316,-76,-15.8,,-14.8,,-22.6,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with a sentence of more than 1 year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. Multiple states reported large changes in prison populations, admissions, and releases between 2019 and 2020 due to criminal justice reforms enacted to address the COVID-19 pandemic. Because these differences were not the result of changes in reporting methods, BJS made direct comparisons of 2019 and 2020 data, understanding that the criminal justice reforms may be temporary.",,,,,,,,,,,,,,,,
:Not calculated. Counts for 2019 and 2020 are not comparable.,,,,,,,,,,,,,,,,
"a/Total and state estimates for 2019 include imputed counts for Oregon, which did not submit 2019 National Prisoner Statistics (NPS) data. Estimates for 2019 also include imputed counts for Vermont, which provided total jurisdiction counts but could not break down the population by sentence length. See Methodology.",,,,,,,,,,,,,,,,
b/Includes prisoners held in nonsecure community corrections facilities and privately operated facilities and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,,
d/State submitted updated 2019 sentenced population counts.,,,,,,,,,,,,,,,,
e/Includes a small number of prisoners sentenced to 1 year or less.,,,,,,,,,,,,,,,,
"f/After a change in prisoner tracking software at the end of 2018, Montana continued to see issues with data that render counts between 2019 and 2020 incomparable.",,,,,,,,,,,,,,,,
g/State did not submit 2019 NPS data. Counts were imputed for 2019. See Methodology.,,,,,,,,,,,,,,,,
h/State provided total jurisdiction counts for 2019 but could not break down the population by sentence length. BJS used the state-reported distribution of total jurisdiction counts by sentence length from 2018 to calculate the number of prisoners in 2019 who were sentenced to more than 1 year.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020.",,,,,,,,,,,,,,,,
