Bureau of Justice Statistics,,,,,,,,,,,,,,,
File name: p15t07.csv,,,,,,,,,,,,,,,
"Table 7. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2014 and 2015",,,,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 7. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2014 and 2015",,,,,,,,,,,,,,,
,,Admissions/a,,,,,,,Releases/b,,,,,,
,"Vermont/j,s","1,715","1,715",0,,/,/,,"1,740","1,886",8.4,,/,/,
,Virginia/r,"12,237","11,762",-3.9,,"11,670",92,,"12,094","12,483",3.2,,"1,112","11,245",
,Washington/r,"20,797","21,824",4.90%,,"7,489","14,334",,"20,898","21,939",5.00%,,"2,347","19,545",
,West Virginia,"3,544","3,879",9.5,,"2,288","1,201",,"3,468","3,644",5.1,,988,"2,188",
,Wisconsin,"6,134","6,442",5,,"4,233","2,185",,"5,433","5,532",1.8,,266,"5,204",
,Wyoming,937,942,0.5,,755,187,,862,900,4.4,,214,679,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners admitted to or released from state or federal correctional authority with a sentence of more than 1 year. ",,,,,,,,,,,,,,,
: Not calculated.,,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,,
"a/Excludes transfers, escapes, and those absent without leave (AWOL), and includes other conditional release violators, returns from appeal or bond, and other admissions. ",,,,,,,,,,,,,,,
See Methodology.,,,,,,,,,,,,,,,
"b/Excludes transfers, escapes, and those AWOL, and includes deaths, releases to appeal or bond, and other releases. See Methodology.",,,,,,,,,,,,,,,
c/U.S. and state totals by type of admission exclude counts for Alaska because the state was unable to report detailed information on admission type. See Jurisdiction notes.   ,,,,,,,,,,,,,,,
"d/Includes all conditional release violators returned to prison from post-custody community supervision, including parole and probation, for either violations of conditions of release or for new crimes.",,,,,,,,,,,,,,,
"e/U.S. and state totals by type of release exclude counts for California, since the state was unable to report detailed information on releases. See Jurisdiction notes.",,,,,,,,,,,,,,,
"f/Includes expirations of sentence, commutations, and other unconditional releases.",,,,,,,,,,,,,,,
"g/Federal data include prisoners held in nonsecure, privately operated community corrections facilities and juveniles held in contract facilities. The Federal Bureau of Prisons reports prison releases as unconditional even though prisoners may serve post-custody community supervision.",,,,,,,,,,,,,,,
"h/Includes releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,,,,,,,,,,,,,
"i/U.S. total and state estimates include imputed counts for Alaska, Nevada, Oregon, and Vermont, which did not submit 2015 data to National Prisoner Statistics (NPS) on admissions and releases. See Methodology.",,,,,,,,,,,,,,,
j/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
k/Alaska did not submit 2014 or 2015 NPS admissions or release data. Counts were imputed. See Methodology.,,,,,,,,,,,,,,,
l/Releases include offenders who received a combined sentence of prison and probation of more than 1 year.,,,,,,,,,,,,,,,
m/Illinois could only provide data for calendar year 2015 through November. See Jurisdiction notes.,,,,,,,,,,,,,,,
n/State submitted updated 2014 admission counts.,,,,,,,,,,,,,,,
o/Counts for 2015 admissions and releases are not comparable to prior years due to a change in reporting methodology.,,,,,,,,,,,,,,,
p/Counts for 2015 admissions are not comparable to prior years due to a change in reporting methodology.,,,,,,,,,,,,,,,
q/State did not submit 2015 NPS admissions or release data. Total and detailed types of admissions and releases were imputed and included in U.S. and state totals.  See Methodology.,,,,,,,,,,,,,,,
"r/Includes all admissions and releases from state prison, regardless of sentence length.",,,,,,,,,,,,,,,
"s/State did not provide 2015 data, but admission and release totals were obtained from a department of corrections report. Detailed admission and release types were imputed and included in U.S. and state totals. See Methodology.",,,,,,,,,,,,,,,
"t/Estimates for prison releases include all prisoners, regardless of sentence length.",,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2014–2015.",,,,,,,,,,,,,,,
