Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p19t07.csv,,,,,,,,,,,,
"Table 7. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and age, 2018 and 2019",,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 7. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and age, 2018 and 2019",,,,,,,,,,,,
,,"Per 100,000 U.S. residents in a given category in 2018",,,,,,"Per 100,000 U.S. residents in a given category in 2019",,,,
,North Carolina,325,617,47,,416,,313,596,45,,401
,North Dakota/e,219,380,51,,287,,231,399,55,,303
,Ohio/f,432,806,72,,554,,430,803,72,,552
,Oklahoma,674,"1,206",152,,889,,639,"1,158",129,,840
,Oregon/g,363,673,59,,458,,353,654,57,,443
,Pennsylvania,367,703,44,,462,,355,680,42,,447
,Rhode Island/c,158,313,11,,196,,156,309,11,,193
,South Carolina,366,703,48,,467,,353,680,46,,450
,South Dakota,447,758,130,,593,,428,722,127,,566
,Tennessee,387,712,77,,497,,384,705,78,,493
,Texas,550,"1,016",91,,740,,529,978,86,,709
,Utah/e,209,379,36,,295,,206,373,36,,290
,"Vermont/c,h",188,349,30,,230,,182,341,27,,223
,Virginia,430,802,70,,551,,422,786,69,,539
,Washington,256,467,45,,328,,250,458,42,,320
,West Virginia,377,672,87,,472,,381,675,91,,476
,Wisconsin,392,736,52,,502,,378,710,49,,482
,Wyoming,440,749,118,,573,,428,726,118,,556
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Imprisonment rate is the number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, or per 100,000 U.S. residents in a given category. Rates are for December 31 of each year and are based on sentenced prisoners. Resident population estimates are from the U.S. Census Bureau for January 1, 2019 and 2020. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,
"a/Total and state estimates for 2018 and 2019 include imputed rates for Oregon, which did not submit 2018 or 2019 National Prisoner Statistics (NPS) data. Estimates for 2019 also include imputed rates for Vermont, which provided total jurisdiction counts but could not break down the population by sentence length. See Methodology.",,,,,,,,,,,,
b/Includes adult prisoners held in community corrections facilities that are non-secure and privately operated facilities and juveniles held in privately operated facilities.,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
d/Data for 2019 are not comparable to data for previous years.,,,,,,,,,,,,
e/State submitted updated 2018 sentenced-population counts.,,,,,,,,,,,,
f/Includes a small number of prisoners sentenced to one year or less.,,,,,,,,,,,,
g/State did not submit 2018 or 2019 NPS data. Counts were imputed for 2019 and should not be compared to 2018 counts. See Methodology.,,,,,,,,,,,,
h/State provided total jurisdiction counts for 2019 but could not break down the population by sentence length. BJS used the state-reported distribution of total jurisdiction counts by sentence length from 2018 to calculate the number of prisoners in 2019 who were sentenced to more than one year.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,,,,,,,,,,
