Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p21stt09.csv,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,
Jurisdiction,,2020 total ,2021 total ,"Change, 2020–2021","Percent change, 2020–2021",,2020 unconditional/a,2021 unconditional/a,2020 conditional/b,2021 conditional/b,2020 deaths/c,2021 deaths/c
,Maryland,"5,933","4,614","-1,319",-22.2,,"1,216",966,"4,652","3,582",62,65
,Massachusetts,"2,212","1,783",-429,-19.4,,"1,258",969,917,775,37,39
,Michigan/k,"10,478","8,099","-2,379",-22.7,,410,383,"8,630","6,198",/,155
,Minnesota,"5,876","4,481","-1,395",-23.7,,426,296,"5,350","4,071",100,114
,Mississippi,"6,655","6,268",-387,-5.8,,406,365,"6,123","5,770",106,99
,Missouri,"14,643","12,389","-2,254",-15.4,,839,846,"13,647","11,425",129,102
,Montana,"2,517","1,740",-777,-30.9,,206,182,"2,277","1,536",33,22
,Nebraska,"2,453","1,922",-531,-21.6,,528,533,"1,885","1,356",29,24
,Nevada,"5,753","5,116",-637,-11.1,,"1,610","1,350","4,061","3,687",82,79
,New Hampshire,"1,246","1,088",-158,-12.7,,159,152,"1,087",919,0,6
,New Jersey,"9,711","4,815","-4,896",-50.4,,"6,439","2,830","3,141","1,907",90,39
,New Mexico/j,"3,090","2,618",-472,-15.3,,767,687,"2,271","1,899",50,25
,New York,"16,249","12,411","-3,838",-23.6,,"1,216",806,"14,665","11,303",120,135
,North Carolina,"15,960","13,280","-2,680",-16.8,,"1,848","1,394","13,980","11,766",132,120
,North Dakota,"1,220","1,114",-106,-8.7,,94,100,"1,119","1,005",7,5
,Ohio/j,"20,052","16,844","-3,208",-16,,"6,394","5,052","13,408","11,670",250,122
,Oklahoma,"8,100","5,798","-2,302",-28.4,,"1,814","1,297","6,175","4,393",111,108
,Oregon,"5,139","4,045","-1,094",-21.3,,15,769,"5,074","3,053",50,54
,Pennsylvania,"15,591","13,744","-1,847",-11.8,,"2,827","2,542","12,522","10,927",220,236
,Rhode Island/g,660,547,-113,-17.1,,412,317,236,225,3,1
,South Carolina,"5,659","4,208","-1,451",-25.6,,"1,662","1,123","3,877","2,995",119,89
,South Dakota,"3,873","3,724",-149,-3.8,,190,134,"2,264","1,990",7,10
,Tennessee,"13,484","11,001","-2,483",-18.4,,"4,834","3,948","8,532","6,894",118,159
,Texas,"66,726","58,262","-8,464",-12.7,,"8,552","7,058","56,028","48,060",674,564
,Utah,"4,156","3,154","-1,002",-24.1,,627,349,"3,492","2,776",37,29
,"Vermont/g,l","1,182",791,-391,-33.1,,/,/,/,/,/,/
,Virginia/m,"12,904","10,633","-2,271",-17.6,,"1,007",783,"11,752","9,712",140,127
,Washington/j,"17,014","13,444","-3,570",-21,,"2,097","1,806","14,853","11,587",51,42
,West Virginia,"3,429","3,061",-368,-10.7,,629,502,"2,648","2,422",46,43
,Wisconsin,"6,023","5,010","-1,013",-16.8,,239,188,"5,703","4,756",67,41
,Wyoming,"1,094",780,-314,-28.7,,300,212,787,558,7,10
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts exclude transfers, escapes, and absences without leave (AWOLs). Counts include deaths, releases to appeal or bond, and other releases. See Methodology. Counts cover January 1 through December 31 for each year and are based on prisoners admitted to or released from state or federal correctional authorities with a sentence of more than 1 year. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,,
/Not reported. ,,,,,,,,,,,,
"a/Includes expirations of sentence, commutations, and other unconditional releases.",,,,,,,,,,,,
"b/Includes releases to probation, supervised mandatory releases, and other unspecified conditional releases.",,,,,,,,,,,,
"c/Includes all deaths of prisoners under state or federal jurisdiction with a sentence of more than 1 year. Counts of deaths in state and federal prisons may differ from previously published statistics due to differences in definitions. All causes of death are included in the counts, including executions.",,,,,,,,,,,,
"d/U.S. and state total estimates for 2020 and 2021 include imputed counts for Vermont, which did not submit data on releases for 2020 or 2021.",,,,,,,,,,,,
"e/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. The 144 conditional releases in 2021 were of persons sentenced before the 1984 Sentencing Reform Act, which eliminated federal parole.",,,,,,,,,,,,
f/Includes the release of an undetermined number of prisoners with sentences of 1 year or less.,,,,,,,,,,,,
g/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
h/Includes offenders who received a combined sentence of prison and probation or parole of more than 1 year.,,,,,,,,,,,,
i/Includes the release of an undetermined number of prisoners with sentences of 1 year.,,,,,,,,,,,,
"j/Includes all releases from state prison, regardless of sentence length. See Jurisdiction notes on the BJS website.",,,,,,,,,,,,
k/Count of deaths in 2020 was updated.,,,,,,,,,,,,
l/State did not supply data on prison releases for 2020 or 2021. See Methodology for imputation strategy.,,,,,,,,,,,,
m/Release data are based on calendar year 2021 counts and include persons sentenced to 1 year or more.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021.",,,,,,,,,,,,
